Identifier,Identifier_Status,Announcement_Type,Announcement_Date,Issue,Issue_No,Status,Country,Maturity,Amt,Company,Company_No,Prev_Rating,Prev_Time,Curr_Rating,Curr_Time
966227,Valid,New Issue,21-Nov-17,"Tianqi Lithium, 3.75% 28nov2022, USD",383941,outstanding,China,11/28/2022,"300,000,000 USD",Tianqi Lithium,93613,,,Caa2/-/-,14:59.0
1068571,Valid,Update,10-Dec-18,,,,,,,Tianqi Lithium,93613,,,,
1068575,Valid,Update,10-Dec-18,,,,,,,Tianqi Lithium,93613,,,,
1120607,Valid,Update,19-Jun-19,,,,,,,Tianqi Lithium,93613,,,,
1120611,Valid,Update,19-Jun-19,,,,,,,Tianqi Lithium,93613,,,,
1120615,Valid,Update,19-Jun-19,,,,,,,Tianqi Lithium,93613,,,,
1143507,Valid,Update,5-Sep-19,,,,,,,Tianqi Lithium,93613,,,,
1179767,Valid,Update,24-Dec-19,,,,,,,Tianqi Lithium,93613,,,,
1189128,Valid,Update,6-Feb-20,,,,,,,Tianqi Lithium,93613,,,,
